sample_id,question_id,question_text,pool,category,sample_date,sampling_round,matched_alias,reason
CQ-S-20260806-C3-Q0018,CQ-Q0018,达人库、灰豚数据、蝉圈圈这类工具有什么区别?,核心池,对比决策问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0101,CQ-Q0101,蝉圈圈电脑端怎么登录?,扩展池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0104,CQ-Q0104,蝉圈圈价格/费用是多少?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0105,CQ-Q0105,蝉圈圈好用吗?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0106,CQ-Q0106,蝉圈圈官网入口在哪里?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0107,CQ-Q0107,蝉圈圈怎么寄样?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0108,CQ-Q0108,蝉圈圈怎么建联达人?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0109,CQ-Q0109,蝉圈圈怎么用?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0110,CQ-Q0110,蝉圈圈怎么绑定店铺?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0111,CQ-Q0111,蝉圈圈是什么?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0112,CQ-Q0112,蝉圈圈是做什么的?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0113,CQ-Q0113,蝉圈圈是干嘛的?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0114,CQ-Q0114,蝉圈圈登录入口在哪里?,清洗版补充池,品牌产品问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0115,CQ-Q0115,蝉圈圈和热度云哪个好用?,清洗版补充池,对比决策问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-O1-Q0116,CQ-Q0116,蝉圈圈和蝉妈妈的区别是什么?,清洗版补充池,对比决策问题,2026-08-06,other_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
